SEP=,
Artist,Title,IsDuet,HasCoverImage,HasBackgroundImage,HasVideo
3 Doors Down,It's Not My Time,false,true,true,true
3 Doors Down,Loser,false,true,true,true
3 Doors Down,When I'm gone,false,true,true,true
5 Seconds of Summer,Amnesia,false,true,true,true
A Day To Remember,If It Means A Lot To You (Duet),true,true,true,true
a-ha,Take on me,false,true,true,true
ABBA,Chiquitita,false,true,true,true
ABBA,Dancing Queen,false,true,true,true
ABBA,Does Your Mother Know?,false,true,true,true
ABBA,Felicidad,false,true,true,true
ABBA,Fernando,false,true,true,true
ABBA,Gimme Gimme Gimme,false,true,true,true
ABBA,"Honey, Honey",false,true,true,true
ABBA,"I Do, I Do, I Do, I Do",false,true,true,true
ABBA,I Have A Dream,false,true,true,true
ABBA,"Knowing Me, Knowing You",false,true,true,true
ABBA,Mamma Mia,false,true,true,true
ABBA,Money Money Money,false,true,true,true
ABBA,One Of Us,false,true,true,true
ABBA,Ring Ring,false,true,true,true
ABBA,S.O.S.,false,true,true,true
ABBA,Summer Night City,false,true,true,true
ABBA,Super Trouper,false,true,true,true
ABBA,Take A Chance On Me,false,true,true,true
ABBA,Thank You For The Music,false,true,true,true
ABBA,That's Me,false,true,true,true
ABBA,The Name Of The Game,false,true,true,true
ABBA,The Winner Takes It All,false,true,true,true
ABBA,Voulez-Vous,false,true,true,true
ABBA,Waterloo,false,true,true,true
AC/DC,Back in Black (Live),false,true,true,true
AC/DC,Hells Bells,false,true,true,true
AC/DC,Highway to Hell (Live),false,true,true,true
AC/DC,T.N.T.,false,true,true,true
AC/DC,Thunderstruck (Live),false,true,true,true
Adele,Chasing Pavements,false,true,true,true
Adele,Easy On Me,false,true,true,true
Adele,Hello,false,true,true,true
Adele,Rolling in the Deep,false,true,true,true
Adele,Rumour Has It,false,true,true,true
Adele,Set Fire To The Rain,false,true,true,true
Adele,Skyfall,false,true,true,true
Adele,Someone Like You,false,true,true,true
Aerosmith,Amazing,false,true,true,true
Aerosmith,Fly Away From Here,false,true,true,true
Aerosmith,I don't want to miss a thing,false,true,true,true
Afrojack & Wrabel,Ten Feet Tall,false,true,true,true
Against The Current,that won't save us,false,true,true,true
Against The Current,Young & Relentless,false,true,true,true
Against The Current ft. LEC,Wildfire,false,true,true,true
Aladdin,A Whole New World,false,true,true,true
Alan Walker & Ava Max,"Alone, Pt. II",false,true,true,true
Alan Walker,Alone,false,true,true,true
Alan Walker,Faded,false,true,true,true
Alessia Cara,How Far I'll Go,false,true,true,true
"Alesso, Katy Perry",When I'm Gone,false,true,true,true
Alesso feat. Tove Lo,Heroes (We Could Be),false,true,true,true
Alice Cooper,Poison,false,true,true,true
Alicia Keys,Fallin',false,true,true,true
Alicia Keys,No one,false,true,true,true
Alicia Keys,Try Sleeping With A Broken Heart,false,true,true,true
All Time Low feat. Demi Lovato & Blackbear,Monsters,false,true,true,true
American Authors,Best Day Of My Life,false,true,true,true
Amy Winehouse,Back To Black,false,true,true,true
Amy Winehouse,Rehab,false,true,true,true
Andre Hazes Jr.,Leef,false,true,true,true
Andre Van Duin,Er Staat Een Paard In De Gang,false,true,true,true
Anna Kendrick,Cups,false,true,true,true
Anne-Marie & Little Mix,Kiss My (Uh Oh),false,true,true,true
Anne-Marie & Niall Horan,Our Song,false,true,true,true
Anne-Marie,2002,false,true,true,true
Anne-Marie,Ciao Adios,false,true,true,true
Anubis,Het Geheim,false,true,true,true
Anubis,Het Huis Anubis,false,true,true,true
Anubis,Het Pad Der Zeven Zonden,false,true,true,true
Aqua,Barbie Girl,false,true,true,true
Ariana Grande & Justin Bieber,Stuck with U,false,true,true,true
"Ariana Grande, Miley Cyrus, Lana Del Rey",Don't call me angel,false,true,true,true
Ariana Grande & The Weeknd,Love Me Harder,false,true,true,true
Ariana Grande,7 rings,false,true,true,true
Ariana Grande,Focus,false,true,true,true
Ariana Grande,No Tears Left To Cry,false,true,true,true
Ariana Grande,One Last Time,false,true,true,true
Ariana Grande,"Thank u, next",false,true,true,true
Ariana Grande feat. Mac Miller,The Way,false,true,true,true
Ariana Grande feat. Nicki Minaj,Side To Side,false,true,true,true
Ariana Grande feat. Zedd,Break Free,false,true,true,true
"Ariana Grande, Social House",boyfriend,false,true,true,true
Ava Max,Kings & Queens,false,true,true,true
Ava Max,My Head & My Heart,false,true,true,true
Ava Max,So Am I,false,true,true,true
Ava Max,Sweet But Psycho,false,true,true,true
Ava Max,Who's Laughing Now,false,true,true,true
Avicii,Hey Brother,false,true,true,true
Avicii,The Nights,false,true,true,true
Avicii,Waiting For Love,false,true,true,true
Avicii,Wake Me Up,false,true,true,true
Avril Lavigne,Bite Me,false,true,true,true
Avril Lavigne,Complicated,false,true,true,true
Avril Lavigne,Girlfriend,false,true,true,true
Avril Lavigne,I'm With You,false,true,true,true
Avril Lavigne,Sk8er Boi,false,true,true,true
Avril Lavigne,Smile,false,true,true,true
Avril Lavigne,What The Hell,false,true,true,true
Avril Lavigne,When Youre Gone,false,true,true,true
Avril Lavigne,Wish You Were Here,false,true,true,true
B.o.B Feat. Bruno Mars,Nothin' on you (Duet),true,true,true,true
B.o.B Feat. Bruno Mars,Nothin' on you,false,true,true,true
B.o.B feat. Hayley Williams,Airplanes,false,true,true,true
Backstreet Boys,As Long As You Love Me,false,true,true,true
Backstreet Boys,Everybody (Backstreet's Back),false,true,true,true
Backstreet Boys,I Want It That Way,false,true,false,false
Banners,Someone To You,false,true,true,true
Bart Kaell,Zeil je voor het eerst,false,true,true,true
Bart Van Den Bossche,De Heuveltjes Van Erika,false,true,true,true
Bastille,Pompeii,false,true,true,true
Bebe Rexha,I'm a Mess,false,true,true,true
Bebe Rexha,Last Hurrah,false,true,true,true
Bebe Rexha,Sacrifice,false,true,true,true
Becky G ft. Natti Natasha,Sin pijama,true,true,true,true
Becky G ft. Natti Natasha,Sin pijama,false,true,true,true
"Bell, Menzel, Gad, Groff",Some Things Never Change,false,true,true,true
Benny Blanco & Halsey & Khalid,Eastside,false,true,true,true
Beyonce,Halo,false,true,true,true
Beyonce,Listen,false,true,true,true
Beyonce,Single ladies (Put a ring on it),false,true,true,true
Billie Eilish,Bad Guy,false,true,true,true
Billie Eilish,bury a friend,false,true,true,true
Billie Eilish,Ocean Eyes,false,true,true,true
Billie Eilish,when the party's over,false,true,true,true
Billy Joel,Piano Man,false,true,true,true
Birdy,Skinny Love,false,true,true,true
Black Eyed Peas,I Gotta Feeling,false,true,true,true
Blof,Zoutelande,false,true,true,true
Blondie,One Way or Another,false,true,true,true
Bob Marley & the Wailers,Redemption Song,false,true,true,true
Bob Marley,No Woman No Cry,false,true,true,true
Bon Jovi,It's my life,false,true,true,true
Bon Jovi,Keep the Faith,false,true,true,true
Bon Jovi,Livin' on a prayer,false,true,true,true
Bon Jovi,You Give Love A Bad Name,false,true,true,true
Britney Spears,Baby One More Time,false,true,true,true
Britney Spears,Oops! I did it again,false,true,true,true
Bruno Mars,24k Magic,false,true,true,true
Bruno Mars,Grenade,false,true,true,true
Bruno Mars,Just the Way You Are,false,true,true,true
Bruno Mars,Locked Out Of Heaven,false,true,true,true
Bruno Mars,Marry you,false,true,true,true
Bruno Mars,The Lazy Song,false,true,true,true
Bruno Mars,When I Was Your Man,false,true,true,true
BTS,Dynamite,false,true,true,true
Calvin Harris & Dua Lipa,One Kiss,false,true,true,true
